UNIT_ID,COMPONENT_LOCATION,HOURS_OIL,Fe (ppm),Cu (ppm),Si (ppm),TBN (mgKOH/g),V100C,BUDGET,HORAS_VIDA_ACTUAL,REMAINING_LIFE
AH2726,MOTOR DIESEL,267,13,2,3,9.0,14.8,15000,1268.0,13732.0
AH2729,MOTOR DIESEL,274,12,2,1,8.8,14.1,15000,9160.0,5840.0
AH2719,MOTOR DIESEL,267,10,1,0,8.7,13.9,15000,774.0,14226.0
AH2715,MOTOR DIESEL,308,16,4,1,8.5,14.6,15000,10113.0,4887.0
AH2725,MOTOR DIESEL,268,25,40,40,8.4,13.5,15000,7138.0,7862.0
AH2721,MOTOR DIESEL,90,8,1,0,9.2,13.6,15000,14022.0,978.0
AH2714,MOTOR DIESEL,247,38,4,1,8.4,14.1,15000,7501.0,7499.0
AH2718,MOTOR DIESEL,49,6,30,3,9.9,15.0,15000,5974.0,9026.0
AH2725,MOTOR DIESEL,146,13,24,34,9.4,14.0,15000,7138.0,7862.0
AH2718,MOTOR DIESEL,33,20,1,0,9.2,14.2,15000,5974.0,9026.0
AH2726,MOTOR DIESEL,14,3,0,1,10.1,15.4,15000,1268.0,13732.0
AH2718,MOTOR DIESEL,10,7,26,19,10.0,15.2,15000,5974.0,9026.0
AH2721,MOTOR DIESEL,23,5,0,0,9.5,14.0,15000,14022.0,978.0
AH2721,MOTOR DIESEL,239,12,1,1,8.4,13.2,15000,14022.0,978.0
AH2715,MOTOR DIESEL,63,6,1,0,9.7,14.7,15000,10113.0,4887.0
AH2726,MOTOR DIESEL,246,12,2,8,9.0,14.8,15000,1268.0,13732.0
AH2725,MOTOR DIESEL,17,7,49,27,11.1,14.7,15000,7138.0,7862.0
AH2729,MOTOR DIESEL,113,7,1,0,9.5,14.4,15000,9160.0,5840.0
AH2725,MOTOR DIESEL,171,19,1360,10,8.3,14.5,15000,7138.0,7862.0
AH2729,MOTOR DIESEL,293,18,2,1,7.7,13.9,15000,9160.0,5840.0
AH2725,MOTOR DIESEL,112,24,263,7,8.9,15.0,15000,7138.0,7862.0
AH2714,MOTOR DIESEL,55,7,1,0,8.7,14.6,15000,7501.0,7499.0
AH2718,MOTOR DIESEL,203,16,5,0,7.5,14.8,15000,5974.0,9026.0
AH2719,MOTOR DIESEL,244,6,1,0,8.4,14.2,15000,774.0,14226.0
AH2715,MOTOR DIESEL,143,10,3,0,8.1,14.4,15000,10113.0,4887.0
AH2726,MOTOR DIESEL,280,23,3,0,7.9,14.8,15000,1268.0,13732.0
AH2718,MOTOR DIESEL,121,13,3,1,7.8,14.6,15000,5974.0,9026.0
AH2714,MOTOR DIESEL,236,29,2,2,7.6,14.1,15000,7501.0,7499.0
AH2715,MOTOR DIESEL,238,14,4,0,7.4,14.0,15000,10113.0,4887.0
AH2729,MOTOR DIESEL,293,18,2,1,7.7,14.1,15000,9160.0,5840.0
AH2715,MOTOR DIESEL,167,9,3,7,8.1,14.1,15000,10113.0,4887.0
AH2726,MOTOR DIESEL,129,13,1,0,8.6,14.7,15000,1268.0,13732.0
AH2721,MOTOR DIESEL,136,4,0,0,8.4,14.0,15000,14022.0,978.0
AH2714,MOTOR DIESEL,142,13,1,0,8.6,14.4,15000,7501.0,7499.0
AH2725,MOTOR DIESEL,173,33,43,8,8.1,14.3,15000,7138.0,7862.0
AH2718,MOTOR DIESEL,273,21,6,0,6.8,14.6,15000,5974.0,9026.0
AH2726,MOTOR DIESEL,228,17,3,2,8.2,15.0,15000,1268.0,13732.0
AH2715,MOTOR DIESEL,224,14,4,0,7.7,14.3,15000,10113.0,4887.0
AH2729,MOTOR DIESEL,239,14,2,2,7.9,14.0,15000,9160.0,5840.0
AH2719,MOTOR DIESEL,70,3,0,0,8.9,14.6,15000,774.0,14226.0
AH2714,MOTOR DIESEL,152,30,2,1,7.9,14.1,15000,7501.0,7499.0
AH2721,MOTOR DIESEL,129,6,1,1,8.4,13.9,15000,14022.0,978.0
AH2719,MOTOR DIESEL,220,9,1,1,8.3,14.1,15000,774.0,14226.0
AH2715,MOTOR DIESEL,225,24,5,2,7.9,14.5,15000,10113.0,4887.0
AH2714,MOTOR DIESEL,123,20,2,1,8.3,14.2,15000,7501.0,7499.0
AH2726,MOTOR DIESEL,101,9,1,0,8.4,15.2,15000,1268.0,13732.0
AH2718,MOTOR DIESEL,252,26,7,1,6.7,14.5,15000,5974.0,9026.0
AH2721,MOTOR DIESEL,263,11,1,1,8.0,14.0,15000,14022.0,978.0
AH2725,MOTOR DIESEL,254,11,1,0,8.3,14.9,15000,7138.0,7862.0
AH2714,MOTOR DIESEL,50,10,1,2,9.0,14.5,15000,7501.0,7499.0
AH2729,MOTOR DIESEL,207,13,2,3,8.2,13.9,15000,9160.0,5840.0
AH2726,MOTOR DIESEL,264,13,3,1,7.8,15.2,15000,1268.0,13732.0
AH2714,MOTOR DIESEL,178,29,5,2,8.3,14.2,15000,7501.0,7499.0
AH2715,MOTOR DIESEL,27,11,2,3,9.0,15.0,15000,10113.0,4887.0
AH2725,MOTOR DIESEL,78,3,0,1,9.1,14.7,15000,7138.0,7862.0
AH2729,MOTOR DIESEL,100,5,1,1,8.8,14.5,15000,9160.0,5840.0
AH2715,MOTOR DIESEL,278,37,8,8,7.4,14.2,15000,10113.0,4887.0
AH2725,MOTOR DIESEL,270,16,1,1,8.0,14.7,15000,7138.0,7862.0
AH2719,MOTOR DIESEL,263,12,1,2,8.0,14.0,15000,774.0,14226.0
AH2729,MOTOR DIESEL,281,16,3,7,7.8,14.0,15000,9160.0,5840.0
AH2725,MOTOR DIESEL,208,13,1,1,8.4,15.1,15000,7138.0,7862.0
AH2715,MOTOR DIESEL,217,28,5,7,7.9,14.2,15000,10113.0,4887.0
AH2726,MOTOR DIESEL,211,9,2,0,8.2,14.8,15000,1268.0,13732.0
AH2714,MOTOR DIESEL,103,15,3,1,8.7,14.3,15000,7501.0,7499.0
AH2714,MOTOR DIESEL,64,8,2,1,9.0,14.7,15000,7501.0,7499.0
AH2718,MOTOR DIESEL,268,18,5,1,7.2,14.5,15000,5974.0,9026.0
AH2729,MOTOR DIESEL,95,5,1,2,9.0,14.3,15000,9160.0,5840.0
AH2719,MOTOR DIESEL,74,4,1,1,9.1,14.8,15000,774.0,14226.0
AH2715,MOTOR DIESEL,276,32,5,8,7.8,14.3,15000,10113.0,4887.0
AH2725,MOTOR DIESEL,293,12,1,2,8.1,14.8,15000,7138.0,7862.0
